SampleID,Temp,COD_in,COD_eff,COD_removal,TAN_in,TAN_eff,TAN_removal,HRT,Stage
OD0OT0.48,15,NA,NA,NA,NA,NA,NA,3,1
OD0OT0.71,15.1,NA,NA,NA,NA,NA,NA,3,1
OD1OT1.35,15.1,1960,441.5,0.77,46.62,0.55,0.99,3,1
OD1OT1.4,15,NA,NA,NA,NA,NA,NA,3,1
OD1OT1.75,15.1,NA,NA,NA,NA,NA,NA,3,1
OD4OT4.35,15.8,2075,446.5,0.78,55.06,0,1,3,1
OD4OT4.42,15.4,NA,NA,NA,NA,NA,NA,3,1
OD4OT4.71,15.4,NA,NA,NA,NA,NA,NA,3,1
OD5OT5.38,16,NA,NA,NA,NA,NA,NA,3,1
OD5OT5.65,16,NA,NA,NA,NA,NA,NA,3,1
OD6OT6.38,16.3,NA,NA,NA,NA,NA,NA,3,1
OD6OT6.65,16.2,NA,NA,NA,NA,NA,NA,3,1
OD7OT7.35,16.4,NA,NA,NA,NA,NA,NA,3,1
OD7OT7.4,16.4,NA,NA,NA,NA,NA,NA,3,1
OD7OT7.74,16.7,NA,NA,NA,NA,NA,NA,3,1
OD8OT8.35,17,1790,152,0.92,26.08,0.05,1,3,1
OD8OT8.4,16.8,NA,NA,NA,NA,NA,NA,3,1
OD8OT8.68,16.8,NA,NA,NA,NA,NA,NA,3,1
OD11OT11.35,16.8,2320,129.5,0.94,27.94,0.08,1,3,1
OD11OT11.46,16.8,NA,NA,NA,NA,NA,NA,3,1
OD11OT11.5,16.7,NA,NA,NA,NA,NA,NA,3,1
OD11OT11.75,16.7,NA,NA,NA,NA,NA,NA,3,1
OD12OT12.38,17.3,NA,NA,NA,NA,NA,NA,3,1
OD12OT12.69,17.2,NA,NA,NA,NA,NA,NA,3,1
OD13OT13.46,NA,NA,NA,NA,NA,NA,NA,3,1
OD13OT13.68,16.9,NA,NA,NA,NA,NA,NA,3,1
OD14OT14.38,16.8,NA,NA,NA,NA,NA,NA,3,1
OD14OT14.42,16.8,NA,NA,NA,NA,NA,NA,3,1
OD14OT14.65,16.7,NA,NA,NA,NA,NA,NA,3,1
OD15OT15.38,17.2,2105,128.5,0.94,39.42,0.11,1,3,1
OD15OT15.46,17.2,NA,NA,NA,NA,NA,NA,3,1
OD15OT15.73,17.4,NA,NA,NA,NA,NA,NA,3,1
OD18OT18.38,17.2,2220,117,0.95,99.81,0.15,1,3,1
OD18OT18.46,17,NA,NA,NA,NA,NA,NA,3,1
OD18OT18.5,17,NA,NA,NA,NA,NA,NA,3,1
OD18OT18.75,17.1,NA,NA,NA,NA,NA,NA,3,1
OD19OT19.38,16.9,NA,NA,NA,NA,NA,NA,3,1
OD19OT19.69,16.7,NA,NA,NA,NA,NA,NA,3,1
OD20OT20.41,16.7,NA,NA,NA,NA,NA,NA,3,1
OD20OT20.71,16.4,NA,NA,NA,NA,NA,NA,3,1
OD21OT21.33,15.8,NA,NA,NA,NA,NA,NA,3,1
OD21OT21.38,15.8,NA,NA,NA,NA,NA,NA,3,1
OD21OT21.75,15.8,NA,NA,NA,NA,NA,NA,3,1
OD23OT23.38,16.3,2610,104.5,0.96,65.35,0.01,1,3,1
OD23OT23.4,16.3,NA,NA,NA,NA,NA,NA,3,1
OD26OT26.42,16.6,2605,124.5,0.95,72.28,0.26,1,3,1
OD26OT26.46,16.6,NA,NA,NA,NA,NA,NA,3,1
OD26OT26.69,16.6,NA,NA,NA,NA,NA,NA,3,1
OD27OT27.35,17.4,NA,NA,NA,NA,NA,NA,3,1
OD27OT27.72,17.6,NA,NA,NA,NA,NA,NA,3,1
OD28OT28.38,18.6,NA,NA,NA,NA,NA,NA,3,1
OD28OT28.67,18,NA,NA,NA,NA,NA,NA,3,1
OD29OT29.38,18,NA,NA,NA,NA,NA,NA,3,1
OD29OT29.4,18,NA,NA,NA,NA,NA,NA,3,1
OD29OT29.42,18,NA,NA,NA,NA,NA,NA,3,1
OD29OT29.69,7.57,NA,NA,NA,NA,NA,NA,3,1
OD30OT30.13,NA,NA,NA,NA,NA,NA,NA,3,1
OD32OT32.38,15.9,2185,106.5,0.95,61.16,0,1,3,1
OD32OT32.44,15.7,NA,NA,NA,NA,NA,NA,3,1
OD32OT32.71,15.9,NA,NA,NA,NA,NA,NA,3,1
OD33OT33.38,16.9,NA,NA,NA,NA,NA,NA,3,1
OD33OT33.67,17,NA,NA,NA,NA,NA,NA,3,1
OD34OT34.39,17.2,NA,NA,NA,NA,NA,NA,3,1
OD34OT34.69,17.3,NA,NA,NA,NA,NA,NA,3,1
OD35OT35.33,16.8,NA,NA,NA,NA,NA,NA,3,1
OD35OT35.35,16.8,NA,NA,NA,NA,NA,NA,3,1
OD35OT35.46,16.8,NA,NA,NA,NA,NA,NA,3,1
OD35OT35.75,17,NA,NA,NA,NA,NA,NA,3,1
OD36OT36.67,17.7,1990,99.5,0.95,76.3,0.02,1,3,1
OD36OT36.73,17.8,NA,NA,NA,NA,NA,NA,3,1
OD39OT39.38,18.7,2170,89,0.96,55.2,0,1,3,1
OD39OT39.48,18.5,NA,NA,NA,NA,NA,NA,3,1
OD39OT39.71,18.6,NA,NA,NA,NA,NA,NA,3,1
OD40OT40.39,19.1,NA,NA,NA,NA,NA,NA,3,1
OD40OT40.67,19.3,NA,NA,NA,NA,NA,NA,3,1
OD41OT41.38,19.7,NA,NA,NA,NA,NA,NA,3,1
OD41OT41.71,19.8,NA,NA,NA,NA,NA,NA,3,1
OD42OT42.36,20.3,NA,NA,NA,NA,NA,NA,3,1
OD42OT42.38,20.3,NA,NA,NA,NA,NA,NA,3,1
OD42OT42.74,20.1,NA,NA,NA,NA,NA,NA,3,1
OD43OT43.35,20.2,NA,NA,NA,NA,NA,NA,3,1
OD43OT43.42,19.9,NA,NA,NA,NA,NA,NA,3,1
OD43OT43.71,20.1,NA,NA,NA,NA,NA,NA,3,1
OD44OT44.42,NA,2965,93,0.97,80.77,0,1,3,1
OD44OT44.44,NA,NA,NA,NA,NA,NA,NA,3,1
OD47OT47.38,20.9,3545,70,0.98,50.58,0.01,1,3,1
OD47OT47.42,20.5,NA,NA,NA,NA,NA,NA,3,1
OD47OT47.67,20.4,NA,NA,NA,NA,NA,NA,3,1
OD48OT48.38,20.7,NA,NA,NA,NA,NA,NA,3,1
OD48OT48.67,20.8,NA,NA,NA,NA,NA,NA,3,1
OD49OT49.38,20.9,NA,NA,NA,NA,NA,NA,3,1
OD49OT49.58,20.9,NA,NA,NA,NA,NA,NA,3,1
OD50OT50.35,21.4,1980,71.5,0.96,58.23,0.07,1,3,1
OD50OT50.46,21.1,NA,NA,NA,NA,NA,NA,3,1
OD50OT50.75,21.1,NA,NA,NA,NA,NA,NA,3,1
OD53OT53.35,20.9,NA,NA,NA,NA,NA,NA,3,1
OD53OT53.46,20.6,NA,NA,NA,NA,NA,NA,3,1
OD53OT53.74,20.6,NA,NA,NA,NA,NA,NA,3,1
OD54OT54.33,20.8,NA,NA,NA,NA,NA,NA,3,1
OD54OT54.65,20.9,NA,NA,NA,NA,NA,NA,3,1
OD55OT55.38,20.9,NA,NA,NA,NA,NA,NA,3,1
OD55OT55.67,20.9,NA,NA,NA,NA,NA,NA,3,1
OD56OT56.38,20.9,NA,NA,NA,NA,NA,NA,3,1
OD56OT56.67,20.4,NA,NA,NA,NA,NA,NA,3,1
OD57OT57.38,19.9,2320,123,0.95,109.23,0,1,3,1
OD57OT57.46,19.7,NA,NA,NA,NA,NA,NA,3,1
OD57OT57.77,19.5,NA,NA,NA,NA,NA,NA,3,1
OD60OT60.38,18.7,NA,NA,NA,NA,NA,NA,3,2
